Date,Price,Open,High,Low,Vol.,Change,Price_log
7/18/10,0.1,0.1,0.1,0.1,80,0,-2.302585093
7/19/10,0.1,0.1,0.1,0.1,570,0,-2.302585093
7/20/10,0.1,0.1,0.1,0.1,260,0,-2.302585093
7/21/10,0.1,0.1,0.1,0.1,580,0,-2.302585093
7/22/10,0.1,0.1,0.1,0.1,2160,0,-2.302585093
7/23/10,0.1,0.1,0.1,0.1,2400,0,-2.302585093
7/24/10,0.1,0.1,0.1,0.1,500,0,-2.302585093
7/25/10,0.1,0.1,0.1,0.1,1550,0,-2.302585093
7/26/10,0.1,0.1,0.1,0.1,880,0,-2.302585093
7/27/10,0.1,0.1,0.1,0.1,3370,0,-2.302585093
7/28/10,0.1,0.1,0.1,0.1,4390,0,-2.302585093
7/29/10,0.1,0.1,0.1,0.1,8060,0,-2.302585093
7/30/10,0.1,0.1,0.1,0.1,3020,0,-2.302585093
7/31/10,0.1,0.1,0.1,0.1,4020,0,-2.302585093
8/1/10,0.1,0.1,0.1,0.1,2600,0,-2.302585093
8/2/10,0.1,0.1,0.1,0.1,3600,0,-2.302585093
8/3/10,0.1,0.1,0.1,0.1,9820,0,-2.302585093
8/4/10,0.1,0.1,0.1,0.1,3490,0,-2.302585093
8/5/10,0.1,0.1,0.1,0.1,5030,0,-2.302585093
8/6/10,0.1,0.1,0.1,0.1,1400,0,-2.302585093
8/7/10,0.1,0.1,0.1,0.1,2620,0,-2.302585093
8/8/10,0.1,0.1,0.1,0.1,2200,0,-2.302585093
8/9/10,0.1,0.1,0.1,0.1,13630,0,-2.302585093
8/10/10,0.1,0.1,0.1,0.1,1310,0,-2.302585093
8/11/10,0.1,0.1,0.1,0.1,14060,0,-2.302585093
8/12/10,0.1,0.1,0.1,0.1,2060,0,-2.302585093
8/13/10,0.1,0.1,0.1,0.1,3590,0,-2.302585093
8/14/10,0.1,0.1,0.1,0.1,4400,0,-2.302585093
8/15/10,0.1,0.1,0.1,0.1,4460,0,-2.302585093
8/16/10,0.1,0.1,0.1,0.1,10730,0,-2.302585093
8/17/10,0.1,0.1,0.1,0.1,13190,0,-2.302585093
8/18/10,0.1,0.1,0.1,0.1,2950,0,-2.302585093
8/19/10,0.1,0.1,0.1,0.1,740,0,-2.302585093
8/20/10,0.1,0.1,0.1,0.1,4200,0,-2.302585093
8/21/10,0.1,0.1,0.1,0.1,10440,0,-2.302585093
8/22/10,0.1,0.1,0.1,0.1,18650,0,-2.302585093
8/23/10,0.1,0.1,0.1,0.1,4300,0,-2.302585093
8/24/10,0.1,0.1,0.1,0.1,6710,0,-2.302585093
8/25/10,0.1,0.1,0.1,0.1,4230,0,-2.302585093
8/26/10,0.1,0.1,0.1,0.1,3870,0,-2.302585093
8/27/10,0.1,0.1,0.1,0.1,9010,0,-2.302585093
8/28/10,0.1,0.1,0.1,0.1,6170,0,-2.302585093
8/29/10,0.1,0.1,0.1,0.1,3170,0,-2.302585093
8/30/10,0.1,0.1,0.1,0.1,34190,0,-2.302585093
8/31/10,0.1,0.1,0.1,0.1,14890,0,-2.302585093
9/1/10,0.1,0.1,0.1,0.1,7170,0,-2.302585093
9/2/10,0.1,0.1,0.1,0.1,8150,0,-2.302585093
9/3/10,0.1,0.1,0.1,0.1,890,0,-2.302585093
