Date,Price,Open,High,Low,Vol.,Change,Price_log
2020-06-21,9296.4,9296.4,9296.4,9296.4,335990,-0.67,9.137382507
2020-06-22,9683.7,9683.7,9683.7,9683.7,523320,4.17,9.178199339
2020-06-23,9624.6,9624.6,9624.6,9624.6,375490,-0.61,9.1720776
2020-06-24,9302,9302,9302,9302,515780,-3.35,9.13798471
2020-06-25,9247.5,9247.5,9247.5,9247.5,524450,-0.59,9.132108524
2020-06-26,9160,9160,9160,9160,489840,-0.95,9.122601458
2020-06-27,9008.3,9008.3,9008.3,9008.3,441930,-1.66,9.105901654
2020-06-28,9124,9124,9124,9124,329010,1.28,9.118663583
2020-06-29,9185.4,9185.4,9185.4,9185.4,401120,0.67,9.125370546
2020-06-30,9135.4,9135.4,9135.4,9135.4,381730,-0.54,9.119912255
2020-07-01,9229.9,9229.9,9229.9,9229.9,366780,1.03,9.130203493
2020-07-02,9085.1,9085.1,9085.1,9085.1,483100,-1.57,9.114390988
2020-07-03,9067.1,9067.1,9067.1,9067.1,333880,-0.2,9.112407757
2020-07-04,9134.4,9134.4,9134.4,9134.4,261250,0.74,9.119802785
2020-07-05,9081,9081,9081,9081,314100,-0.58,9.113939598
2020-07-06,9339,9339,9339,9339,510270,2.84,9.141954459
2020-07-07,9256,9256,9256,9256,420550,-0.89,9.133027269
2020-07-08,9429.9,9429.9,9429.9,9429.9,509940,1.88,9.151640771
2020-07-09,9235.7,9235.7,9235.7,9235.7,444270,-2.06,9.130831688
2020-07-10,9285.1,9285.1,9285.1,9285.1,418470,0.53,9.136166244
2020-07-11,9233.3,9233.3,9233.3,9233.3,353920,-0.56,9.130571793
2020-07-12,9300.8,9300.8,9300.8,9300.8,366880,0.73,9.137855697
2020-07-13,9243.6,9243.6,9243.6,9243.6,456870,-0.62,9.131686699
2020-07-14,9253.4,9253.4,9253.4,9253.4,453830,0.11,9.132746331
2020-07-15,9198.7,9198.7,9198.7,9198.7,429840,-0.59,9.126817449
2020-07-16,9135.3,9135.3,9135.3,9135.3,429040,-0.69,9.119901309
2020-07-17,9155.8,9155.8,9155.8,9155.8,310920,0.22,9.122142837
2020-07-18,9170.2,9170.2,9170.2,9170.2,276400,0.16,9.123714375
2020-07-19,9208,9208,9208,9208,265250,0.41,9.12782795
2020-07-20,9162.4,9162.4,9162.4,9162.4,312980,-0.5,9.122863432
2020-07-21,9387.3,9387.3,9387.3,9387.3,458990,2.46,9.147112991
2020-07-22,9513.7,9513.7,9513.7,9513.7,386000,1.35,9.160488144
2020-07-23,9599.6,9599.6,9599.6,9599.6,425660,0.9,9.16947671
2020-07-24,9546.4,9546.4,9546.4,9546.4,359160,-0.55,9.163919399
